userid,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
635,144,121,0,0,0,14,7,10,185,251,292,254,127,139,192,269,160,322,113,61,178,310,354,231
637,155,22,12,0,3,0,0,47,212,592,1070,572,807,855,881,845,835,373,597,1282,1009,714,801,333
638,6,0,0,0,0,0,0,0,0,10,7,2,16,9,17,9,9,1,8,5,8,2,3,12
639,94,4,0,0,0,0,4,23,102,260,229,257,171,341,387,210,400,75,169,193,320,499,508,291
640,189,18,1,0,0,0,0,3,16,265,1218,433,291,180,597,562,596,158,76,477,513,186,453,147
641,214,77,2,0,0,0,0,31,54,248,474,343,253,372,334,375,442,187,81,346,514,458,400,196
643,0,0,0,0,0,0,0,0,0,29,140,98,21,0,6,38,35,39,3,18,58,60,172,21
644,0,0,0,0,0,0,0,0,0,62,82,71,5,15,78,145,72,75,47,35,80,58,53,17
645,20,2,0,0,0,0,0,0,13,53,86,70,42,22,34,74,44,30,16,26,29,51,83,66
646,130,54,49,44,30,32,55,39,58,89,236,282,363,364,296,405,209,200,134,98,135,136,134,343
647,24,0,0,0,0,0,1,3,35,442,199,121,17,59,190,192,327,118,68,48,85,95,132,44
648,14,3,0,0,0,12,25,61,346,533,508,141,11,60,208,357,267,139,47,63,155,195,243,70
649,16,5,13,36,0,25,5,22,23,146,56,33,31,19,43,73,69,27,36,29,28,25,24,33
650,0,0,0,0,0,0,0,0,20,64,71,42,25,40,32,47,40,56,19,47,59,56,55,18
651,17,24,11,6,4,0,1,7,20,120,113,58,37,46,64,128,90,70,37,75,77,99,83,46
652,39,16,1,0,0,0,4,11,117,617,331,156,71,301,343,317,279,280,109,100,173,267,229,141
653,784,372,150,14,12,15,11,8,38,148,522,486,1338,118,1185,1288,227,190,350,276,166,250,183,193
655,7,0,0,0,0,0,0,0,27,68,97,64,31,24,27,38,55,39,20,26,31,44,35,25
656,16,20,0,0,0,0,0,0,4,22,57,7,3,1,2,3,21,28,5,7,18,17,14,23
657,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,11,2,3,0,0,0,1,0
658,0,0,0,0,0,0,0,0,0,47,41,9,0,0,20,42,9,11,18,6,6,9,30,0
659,0,0,0,0,0,0,0,0,22,101,160,37,24,38,24,68,104,26,35,31,42,93,55,17
660,11,3,5,6,5,0,0,1,4,4,8,7,4,2,8,8,7,6,9,6,9,11,7,30
661,0,0,0,0,0,0,0,0,0,0,2,29,1,10,0,0,0,0,0,0,0,0,27,0
662,0,4,0,0,0,0,0,24,81,98,74,18,10,26,28,22,8,3,20,40,29,38,13,4
663,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0
664,0,0,0,0,0,0,0,0,6,0,3,0,0,2,14,7,0,1,0,0,0,0,0,0
667,0,0,0,0,0,0,0,0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0
688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
709,0,0,0,0,0,0,0,0,0,0,3,11,3,0,0,0,1,2,0,0,0,0,0,0
727,0,2,0,0,0,0,0,1,5,461,138,401,311,525,909,1164,192,1339,16,1,189,23,956,653
741,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
748,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
754,0,0,0,0,0,0,0,0,0,11,14,8,2,11,14,10,8,5,0,0,0,0,0,0
757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0
759,0,0,0,0,0,0,0,0,0,1,0,5,0,1,14,0,4,0,0,0,0,0,0,0
760,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
763,0,0,0,0,0,0,0,0,0,0,1,10,3,0,0,8,2,0,0,0,0,0,0,0
795,0,0,0,0,0,0,0,1,2,12,20,0,14,2,0,1,0,0,11,0,0,2,0,0
864,1,0,0,0,0,0,0,0,12,148,54,23,0,1,5,16,19,9,4,0,0,0,0,0
865,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
866,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,3,1,28,0
867,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
868,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
895,0,0,0,0,0,0,0,0,3,5,7,0,0,8,4,2,16,16,10,9,24,14,14,0
934,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0
962,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
967,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,7,4,0,0,0,0,0
969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
973,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0
